"genome_id","genome_name","genome_quality","genome_status"
"470.4888","Acinetobacter baumannii strain SGH1012","Good","WGS"
"470.4892","Acinetobacter baumannii strain SGH1113","Good","WGS"
"470.4895","Acinetobacter baumannii strain SGH0825","Good","WGS"
"470.4896","Acinetobacter baumannii strain SGH0403","Good","WGS"
"470.4897","Acinetobacter baumannii strain SGH1010","Good","WGS"
"470.4901","Acinetobacter baumannii strain AR_0083","Good","Complete"
"470.5040","Acinetobacter baumannii strain CCUG 70743","Good","WGS"
"470.5410","Acinetobacter baumannii strain AR_0070","Good","Complete"
"470.5421","Acinetobacter baumannii strain AR_0052","Good","Complete"
"470.6170","Acinetobacter baumannii strain AB_US_2","Good","WGS"
"470.6171","Acinetobacter baumannii strain AB_US_1","Good","WGS"
"470.6172","Acinetobacter baumannii strain AB_401","Good","WGS"
"470.6173","Acinetobacter baumannii strain AB_381","Good","WGS"
"470.6174","Acinetobacter baumannii strain AB_369","Good","WGS"
"470.6175","Acinetobacter baumannii strain AB_374","Good","WGS"
"470.6176","Acinetobacter baumannii strain AB_368","Good","WGS"
"470.6177","Acinetobacter baumannii strain AB_359","Good","WGS"
"470.6178","Acinetobacter baumannii strain AB_364","Good","WGS"
"470.6179","Acinetobacter baumannii strain AB_353","Good","WGS"
"470.6180","Acinetobacter baumannii strain AB_349","Good","WGS"
"470.6181","Acinetobacter baumannii strain AB_347","Good","WGS"
"470.6182","Acinetobacter baumannii strain AB_331","Good","WGS"
"470.6183","Acinetobacter baumannii strain AB_221","Good","WGS"
"470.6184","Acinetobacter baumannii strain AB_186","Good","WGS"
"470.6185","Acinetobacter baumannii strain AB_US_6","Good","WGS"
"470.6186","Acinetobacter baumannii strain AB_397","Good","WGS"
"470.6187","Acinetobacter baumannii strain AB_396","Good","WGS"
"470.6188","Acinetobacter baumannii strain AB_390","Good","WGS"
"470.6189","Acinetobacter baumannii strain AB_387","Good","WGS"
"470.6190","Acinetobacter baumannii strain AB_382","Good","WGS"
"470.6191","Acinetobacter baumannii strain AB_363","Good","WGS"
"470.6192","Acinetobacter baumannii strain AB_267","Good","WGS"
"470.6193","Acinetobacter baumannii strain AB_235","Good","WGS"
"470.6194","Acinetobacter baumannii strain AB_165","Good","WGS"
"470.6195","Acinetobacter baumannii strain AB_159","Good","WGS"
"470.6196","Acinetobacter baumannii strain AB_156","Good","WGS"
"470.6197","Acinetobacter baumannii strain AB_US_10","Good","WGS"
"470.6198","Acinetobacter baumannii strain AB_394","Good","WGS"
"470.6199","Acinetobacter baumannii strain AB_391","Good","WGS"
"470.6200","Acinetobacter baumannii strain AB_389","Good","WGS"
"470.6201","Acinetobacter baumannii strain AB_258","Good","WGS"
"470.6202","Acinetobacter baumannii strain AB_193","Good","WGS"
"470.6203","Acinetobacter baumannii strain AB_172","Good","WGS"
"470.6204","Acinetobacter baumannii strain AB_261","Good","WGS"
"470.6205","Acinetobacter baumannii strain AB_191","Good","WGS"
"470.6206","Acinetobacter baumannii strain AB_168","Good","WGS"
"470.6207","Acinetobacter baumannii strain AB_272","Good","WGS"
"470.6208","Acinetobacter baumannii strain AB_230","Good","WGS"
"470.6209","Acinetobacter baumannii strain AB_203","Good","WGS"
"470.6210","Acinetobacter baumannii strain AB_170","Good","WGS"
"470.6211","Acinetobacter baumannii strain AB_194","Good","WGS"
"470.6212","Acinetobacter baumannii strain AB_152","Good","WGS"
"470.6213","Acinetobacter baumannii strain AB_161","Good","WGS"
"470.6214","Acinetobacter baumannii strain AB_149","Good","WGS"
"470.6215","Acinetobacter baumannii strain AB_126","Good","WGS"
"470.6216","Acinetobacter baumannii strain AB_147","Good","WGS"
"470.6217","Acinetobacter baumannii strain AB_145","Good","WGS"
"470.6218","Acinetobacter baumannii strain AB_107","Good","WGS"
"470.6219","Acinetobacter baumannii strain AB_115","Good","WGS"
"470.6220","Acinetobacter baumannii strain AB_100","Good","WGS"
"470.6221","Acinetobacter baumannii strain AB_095","Good","WGS"
"470.6222","Acinetobacter baumannii strain AB_104","Good","WGS"
"470.6223","Acinetobacter baumannii strain AB_091","Good","WGS"
"470.6224","Acinetobacter baumannii strain AB_098","Good","WGS"
"470.6225","Acinetobacter baumannii strain AB_088","Good","WGS"
"470.6226","Acinetobacter baumannii strain AB_074","Good","WGS"
"470.6227","Acinetobacter baumannii strain AB_085","Good","WGS"
"470.6228","Acinetobacter baumannii strain AB_062","Good","WGS"
"470.6229","Acinetobacter baumannii strain AB_056","Good","WGS"
"470.6230","Acinetobacter baumannii strain AB_039","Good","WGS"
"470.6231","Acinetobacter baumannii strain AB_036","Good","WGS"
"470.6232","Acinetobacter baumannii strain AB_035","Good","WGS"
"470.6233","Acinetobacter baumannii strain AB_023","Good","WGS"
"470.6234","Acinetobacter baumannii strain AB_020","Good","WGS"
"470.6235","Acinetobacter baumannii strain AB_014","Good","WGS"
"470.6236","Acinetobacter baumannii strain AB_002","Good","WGS"
"470.6237","Acinetobacter baumannii strain AB_140","Good","WGS"
"470.6238","Acinetobacter baumannii strain AB_102","Good","WGS"
"470.6239","Acinetobacter baumannii strain AB_097","Good","WGS"
"470.6240","Acinetobacter baumannii strain AB_094","Good","WGS"
"470.6241","Acinetobacter baumannii strain AB_083","Good","WGS"
"470.6242","Acinetobacter baumannii strain AB_077","Good","WGS"
"470.6243","Acinetobacter baumannii strain AB_043","Good","WGS"
"470.6244","Acinetobacter baumannii strain AB_053","Good","WGS"
"470.6245","Acinetobacter baumannii strain AB_026","Good","WGS"
"470.6246","Acinetobacter baumannii strain AB_025","Good","WGS"
"470.6247","Acinetobacter baumannii strain AB_029","Good","WGS"
"470.7338","Acinetobacter baumannii strain 130","Good","WGS"
"470.7339","Acinetobacter baumannii strain 171","Good","WGS"
"470.7340","Acinetobacter baumannii strain 177","Good","WGS"
"470.7341","Acinetobacter baumannii strain 182","Good","WGS"
"470.7342","Acinetobacter baumannii strain 183","Good","WGS"
"470.7343","Acinetobacter baumannii strain 260","Good","WGS"
"470.7344","Acinetobacter baumannii strain 329","Good","WGS"
"470.7345","Acinetobacter baumannii strain 360","Good","WGS"
"470.7346","Acinetobacter baumannii strain 362","Good","WGS"
"470.7347","Acinetobacter baumannii strain 456","Good","WGS"
"470.7348","Acinetobacter baumannii strain 468","Good","WGS"
"470.7353","Acinetobacter baumannii strain BL04","Good","WGS"
"470.7354","Acinetobacter baumannii strain BL05","Good","WGS"
"470.7357","Acinetobacter baumannii strain BL08","Good","WGS"
"470.7363","Acinetobacter baumannii strain BL14","Good","WGS"
"470.7364","Acinetobacter baumannii strain BL15","Good","WGS"
"470.7367","Acinetobacter baumannii strain BL18","Good","WGS"
"470.7370","Acinetobacter baumannii strain BL21","Good","WGS"
"470.7371","Acinetobacter baumannii strain BL22","Good","WGS"
"470.7349","Acinetobacter baumannii strain 473","Good","WGS"
"470.7350","Acinetobacter baumannii strain 87","Good","WGS"
"470.7351","Acinetobacter baumannii strain BL02","Good","WGS"
"470.7352","Acinetobacter baumannii strain BL03","Good","WGS"
"470.7355","Acinetobacter baumannii strain BL06","Good","WGS"
"470.7356","Acinetobacter baumannii strain BL07","Good","WGS"
"470.7358","Acinetobacter baumannii strain BL09","Good","WGS"
"470.7359","Acinetobacter baumannii strain BL10","Good","WGS"
"470.7360","Acinetobacter baumannii strain BL11","Good","WGS"
"470.7361","Acinetobacter baumannii strain BL12","Good","WGS"
"470.7362","Acinetobacter baumannii strain BL13","Good","WGS"
"470.7365","Acinetobacter baumannii strain BL16","Good","WGS"
"470.7366","Acinetobacter baumannii strain BL17","Good","WGS"
"470.7368","Acinetobacter baumannii strain BL19","Good","WGS"
"470.7369","Acinetobacter baumannii strain BL20","Good","WGS"
"470.7372","Acinetobacter baumannii strain BL23","Good","WGS"
"470.7373","Acinetobacter baumannii strain BL24","Good","WGS"
"470.7374","Acinetobacter baumannii strain FDA-CDC-AR_0273","Good","WGS"
"470.7375","Acinetobacter baumannii strain FDA-CDC-AR_0274","Good","WGS"
"470.7376","Acinetobacter baumannii strain FDA-CDC-AR_0275","Good","WGS"
"470.7377","Acinetobacter baumannii strain FDA-CDC-AR_0277","Good","WGS"
"470.7378","Acinetobacter baumannii strain FDA-CDC-AR_0278","Good","WGS"
"470.7379","Acinetobacter baumannii strain FDA-CDC-AR_0279","Good","WGS"
"470.7380","Acinetobacter baumannii strain FDA-CDC-AR_0280","Good","WGS"
"470.7381","Acinetobacter baumannii strain FDA-CDC-AR_0281","Good","WGS"
